"Var1","Var2","value"
"S14","Gustavus",2.12296124450523e-06
"YAK","Gustavus",3.51420935052912e-06
"GBYC","Gustavus",7.97765301170865e-05
"GBYB","Gustavus",2.16752864562011e-05
"S13","Gustavus",2.19335717113117e-06
"S20","Gustavus",3.23539978743726e-06
"S17","Gustavus",2.56487542417456e-06
"N15","Gustavus",1.24828108907775e-05
"S22","Gustavus",3.48043646592709e-06
"N20","Gustavus",1.23189682732447e-05
"N14","Gustavus",1.49170537208351e-05
"N16","Gustavus",2.20022392172183e-05
"N23","Gustavus",7.50871079190018e-06
"N22","Gustavus",1.28043471035038e-05
"N13","Gustavus",8.37481371905547e-06
"N18","Gustavus",9.37429576507876e-06
"N27","Gustavus",1.176998207132e-05
"N21","Gustavus",2.43023044199592e-05
"N26","Gustavus",2.71087706605554e-05
"N25","Gustavus",1.92697215784153e-05
"N24","Gustavus",2.24802318769548e-05
"N17","Gustavus",6.34848030097022e-06
"N12","Gustavus",6.8617089420743e-06
"N19","Gustavus",5.36920134426007e-06
"S23","Gustavus",4.43229521786371e-06
"S16","Gustavus",2.61074931661846e-06
"S24","Gustavus",1.92424316544033e-06
"S21","Gustavus",2.91536723738119e-06
"S18","Gustavus",2.54566963726475e-06
"S19","Gustavus",3.07100059386438e-06
"S09","Gustavus",4.07171537529798e-06
"S10","Wrangell",1.14026224967171e-05
"N07","Wrangell",3.84196189095792e-06
"N09","Wrangell",4.72899948550271e-06
"GBYA","Wrangell",2.67993561815231e-06
"N02","Wrangell",3.51148756461838e-06
"N01","Wrangell",2.59058227774006e-06
"N03","Wrangell",4.04104690324401e-06
"N04","Wrangell",4.48504940662788e-06
"N05","Wrangell",4.77686893474829e-06
"N06","Wrangell",5.93700372636215e-06
"N10","Wrangell",5.46292419460962e-06
"N11","Wrangell",7.05178815370989e-06
"N08","Wrangell",3.54180089938373e-06
"S05","Wrangell",5.46660022028114e-06
"S04","Wrangell",6.42603474049953e-06
"S06","Wrangell",5.45824449851893e-06
"S03","Wrangell",7.48433783584958e-06
"S02","Wrangell",8.20214118943433e-06
"S01","Wrangell",9.07801848952117e-06
"S07","Wrangell",8.85126637018512e-06
"S08","Wrangell",1.0112536722359e-05
"S12","Wrangell",1.56590724693432e-05
"S11","Wrangell",2.85678349337178e-05
"S15","Wrangell",5.95105150249376e-06
"S14","Wrangell",5.35642195206281e-06
"YAK","Wrangell",1.74231023545732e-06
"GBYC","Wrangell",3.30106741008998e-06
"GBYB","Wrangell",2.93587722917277e-06
